Model,Model File,Learning Rate,Batch Size,Filters,Layers,Accuracy,Precision,Recall,F1-Score
Model 16,model_16_lr0.0005_bs32_f64_l3.keras,0.0005,32,64,3,0.7501,0.7524,0.7501,0.7499
Model 38,model_38_lr0.001_bs32_f16_l5.keras,0.001,32,16,5,0.7470,0.7534,0.7470,0.7456
Model 52,model_52_lr0.001_bs64_f64_l3.keras,0.001,64,64,3,0.7420,0.7532,0.7420,0.7364
Model 79,model_79_lr0.002_bs64_f64_l3.keras,0.002,64,64,3,0.7392,0.7621,0.7392,0.7430
Model 31,model_31_lr0.001_bs16_f32_l3.keras,0.001,16,32,3,0.7341,0.7517,0.7341,0.7349
Model 67,model_67_lr0.002_bs32_f32_l3.keras,0.002,32,32,3,0.7296,0.7426,0.7296,0.7280
Model 2,model_2_lr0.0005_bs16_f16_l5.keras,0.0005,16,16,5,0.7288,0.7370,0.7288,0.7289
Model 21,model_21_lr0.0005_bs64_f16_l7.keras,0.0005,64,16,7,0.7283,0.7300,0.7283,0.7260
Model 58,model_58_lr0.002_bs16_f32_l3.keras,0.002,16,32,3,0.7283,0.7416,0.7283,0.7248
Model 47,model_47_lr0.001_bs64_f16_l5.keras,0.001,64,16,5,0.7224,0.7259,0.7224,0.7200
Model 76,model_76_lr0.002_bs64_f32_l3.keras,0.002,64,32,3,0.7190,0.7413,0.7190,0.7211
Model 4,model_4_lr0.0005_bs16_f32_l3.keras,0.0005,16,32,3,0.7168,0.7239,0.7168,0.7167
Model 25,model_25_lr0.0005_bs64_f64_l3.keras,0.0005,64,64,3,0.7167,0.7274,0.7167,0.7119
Model 40,model_40_lr0.001_bs32_f32_l3.keras,0.001,32,32,3,0.7073,0.7178,0.7073,0.7026
Model 11,model_11_lr0.0005_bs32_f16_l5.keras,0.0005,32,16,5,0.6994,0.7044,0.6994,0.6942
Model 49,model_49_lr0.001_bs64_f32_l3.keras,0.001,64,32,3,0.6879,0.6961,0.6879,0.6833
Model 64,model_64_lr0.002_bs32_f16_l3.keras,0.002,32,16,3,0.6766,0.6832,0.6766,0.6749
Model 13,model_13_lr0.0005_bs32_f32_l3.keras,0.0005,32,32,3,0.6686,0.6940,0.6686,0.6673
Model 55,model_55_lr0.002_bs16_f16_l3.keras,0.002,16,16,3,0.6633,0.6801,0.6633,0.6603
Model 73,model_73_lr0.002_bs64_f16_l3.keras,0.002,64,16,3,0.6632,0.6722,0.6632,0.6570
Model 20,model_20_lr0.0005_bs64_f16_l5.keras,0.0005,64,16,5,0.6523,0.6796,0.6523,0.6487
Model 37,model_37_lr0.001_bs32_f16_l3.keras,0.001,32,16,3,0.6404,0.6554,0.6404,0.6405
Model 28,model_28_lr0.001_bs16_f16_l3.keras,0.001,16,16,3,0.6383,0.6550,0.6383,0.6347
Model 22,model_22_lr0.0005_bs64_f32_l3.keras,0.0005,64,32,3,0.6336,0.6639,0.6336,0.6303
Model 46,model_46_lr0.001_bs64_f16_l3.keras,0.001,64,16,3,0.6310,0.6394,0.6310,0.6253
Model 1,model_1_lr0.0005_bs16_f16_l3.keras,0.0005,16,16,3,0.6260,0.6459,0.6260,0.6264
Model 10,model_10_lr0.0005_bs32_f16_l3.keras,0.0005,32,16,3,0.5912,0.6279,0.5912,0.5868
Model 19,model_19_lr0.0005_bs64_f16_l3.keras,0.0005,64,16,3,0.5708,0.5960,0.5708,0.5613
