model_name,model_file,learning_rate,batch_size,num_filters,num_layers,accuracy,precision,recall,f1_score,timestamp
Model 40,model_40_lr0.001_bs32_f32_l3.keras,0.001,32,32,3,0.7073,0.7177632477934918,0.7073,0.7025833839193619,2025-09-13 18:19:21
Model 41,model_41_lr0.001_bs32_f32_l5.keras,0.001,32,32,5,0.823,0.8235492384550082,0.823,0.8209482770344697,2025-09-13 18:19:53
Model 42,model_42_lr0.001_bs32_f32_l7.keras,0.001,32,32,7,0.843,0.8449345261237792,0.843,0.8433083812488769,2025-09-13 18:20:31
Model 43,model_43_lr0.001_bs32_f64_l3.keras,0.001,32,64,3,0.7591,0.7741596563812678,0.7591,0.7563902212509744,2025-09-13 18:21:08
Model 44,model_44_lr0.001_bs32_f64_l5.keras,0.001,32,64,5,0.8515,0.8512671947197976,0.8515,0.8503065950770379,2025-09-13 18:22:02
Model 45,model_45_lr0.001_bs32_f64_l7.keras,0.001,32,64,7,0.8506,0.8566011883918659,0.8506,0.8515184762423716,2025-09-13 18:23:11
Model 46,model_46_lr0.001_bs64_f16_l3.keras,0.001,64,16,3,0.631,0.6394109603558557,0.631,0.6253254699744173,2025-09-13 18:23:30
Model 47,model_47_lr0.001_bs64_f16_l5.keras,0.001,64,16,5,0.7224,0.7259020579438032,0.7224,0.7199745857234896,2025-09-13 18:23:54
Model 48,model_48_lr0.001_bs64_f16_l7.keras,0.001,64,16,7,0.786,0.7901756670888148,0.786,0.7864699336446547,2025-09-13 18:24:23
Model 49,model_49_lr0.001_bs64_f32_l3.keras,0.001,64,32,3,0.6879,0.6960994107888786,0.6879,0.6833280943347274,2025-09-13 18:24:47
Model 50,model_50_lr0.001_bs64_f32_l5.keras,0.001,64,32,5,0.8112,0.8154801717821378,0.8112,0.8114898603895074,2025-09-13 18:25:19
Model 51,model_51_lr0.001_bs64_f32_l7.keras,0.001,64,32,7,0.8331,0.8372215112756501,0.8331,0.8337536717908178,2025-09-13 18:25:57
Model 52,model_52_lr0.001_bs64_f64_l3.keras,0.001,64,64,3,0.742,0.7532111626073372,0.742,0.7364103487747499,2025-09-13 18:26:33
Model 53,model_53_lr0.001_bs64_f64_l5.keras,0.001,64,64,5,0.8443,0.8461776627877345,0.8443,0.8433986599598876,2025-09-13 18:27:25
Model 54,model_54_lr0.001_bs64_f64_l7.keras,0.001,64,64,7,0.8526,0.8560372683712246,0.8526,0.8530701987719363,2025-09-13 18:28:31
Model 55,model_55_lr0.002_bs16_f16_l3.keras,0.002,16,16,3,0.6633,0.6801304038283804,0.6633,0.6603489941333297,2025-09-13 18:28:55
Model 56,model_56_lr0.002_bs16_f16_l5.keras,0.002,16,16,5,0.7656,0.7779041903043937,0.7656,0.7621989567833183,2025-09-13 18:29:27
Model 57,model_57_lr0.002_bs16_f16_l7.keras,0.002,16,16,7,0.8085,0.814121107867903,0.8085,0.8081705978543419,2025-09-13 18:30:02
Model 58,model_58_lr0.002_bs16_f32_l3.keras,0.002,16,32,3,0.7283,0.7415686196216784,0.7283,0.7247515577227432,2025-09-13 18:30:28
Model 59,model_59_lr0.002_bs16_f32_l5.keras,0.002,16,32,5,0.8338,0.838133979677832,0.8338,0.8326450761018783,2025-09-13 18:31:02
Model 60,model_60_lr0.002_bs16_f32_l7.keras,0.002,16,32,7,0.8526,0.8527858698481859,0.8526,0.8524680703978195,2025-09-13 18:31:47
Model 61,model_61_lr0.002_bs16_f64_l3.keras,0.002,16,64,3,0.7919,0.7975194963998069,0.7919,0.7918200363572573,2025-09-13 18:32:25
Model 62,model_62_lr0.002_bs16_f64_l5.keras,0.002,16,64,5,0.8506,0.852160804025657,0.8506,0.8498024307138319,2025-09-13 18:33:18
Model 63,model_63_lr0.002_bs16_f64_l7.keras,0.002,16,64,7,0.8533,0.8563412260685481,0.8533,0.8518113916820612,2025-09-13 18:34:27
Model 64,model_64_lr0.002_bs32_f16_l3.keras,0.002,32,16,3,0.6766,0.6832091703330714,0.6766,0.6749125528177181,2025-09-13 18:34:47
Model 65,model_65_lr0.002_bs32_f16_l5.keras,0.002,32,16,5,0.7776,0.7855858124935108,0.7776,0.7790031924455465,2025-09-13 18:35:12
Model 66,model_66_lr0.002_bs32_f16_l7.keras,0.002,32,16,7,0.8107,0.8097982051609738,0.8107,0.8096264740982856,2025-09-13 18:35:42
Model 67,model_67_lr0.002_bs32_f32_l3.keras,0.002,32,32,3,0.7296,0.7425948861066909,0.7296,0.727983536484608,2025-09-13 18:36:06
Model 68,model_68_lr0.002_bs32_f32_l5.keras,0.002,32,32,5,0.8259,0.8295307060944888,0.8259,0.8259114472718089,2025-09-13 18:36:37
Model 69,model_69_lr0.002_bs32_f32_l7.keras,0.002,32,32,7,0.8516,0.8511293438540781,0.8516,0.8508710223585616,2025-09-13 18:37:18
Model 70,model_70_lr0.002_bs32_f64_l3.keras,0.002,32,64,3,0.7671,0.7757926967652585,0.7671,0.7685528770519003,2025-09-13 18:37:56
Model 71,model_71_lr0.002_bs32_f64_l5.keras,0.002,32,64,5,0.8407,0.8471350769966104,0.8407,0.8405338945062136,2025-09-13 18:38:50
Model 72,model_72_lr0.002_bs32_f64_l7.keras,0.002,32,64,7,0.8541,0.8583563276716901,0.8541,0.8541294126024861,2025-09-13 18:39:59
Model 73,model_73_lr0.002_bs64_f16_l3.keras,0.002,64,16,3,0.6632,0.6721804763609541,0.6632,0.6570362695706259,2025-09-13 18:40:18
Model 74,model_74_lr0.002_bs64_f16_l5.keras,0.002,64,16,5,0.7521,0.7521442225682036,0.7521,0.7480217205523807,2025-09-13 18:40:43
Model 75,model_75_lr0.002_bs64_f16_l7.keras,0.002,64,16,7,0.8048,0.8072769008948992,0.8048,0.8034982579963498,2025-09-13 18:41:13
Model 76,model_76_lr0.002_bs64_f32_l3.keras,0.002,64,32,3,0.719,0.7413102693490627,0.719,0.7211261383477606,2025-09-13 18:41:37
Model 77,model_77_lr0.002_bs64_f32_l5.keras,0.002,64,32,5,0.8225,0.8248317495443558,0.8225,0.8222199915540072,2025-09-13 18:42:10
Model 78,model_78_lr0.002_bs64_f32_l7.keras,0.002,64,32,7,0.8427,0.8453215512209236,0.8427,0.8428039022102323,2025-09-13 18:42:50
Model 79,model_79_lr0.002_bs64_f64_l3.keras,0.002,64,64,3,0.7392,0.7620766995014275,0.7392,0.743034200444986,2025-09-13 18:43:27
Model 80,model_80_lr0.002_bs64_f64_l5.keras,0.002,64,64,5,0.8403,0.8465074581483668,0.8403,0.839825653835036,2025-09-13 18:44:21
Model 81,model_81_lr0.002_bs64_f64_l7.keras,0.002,64,64,7,0.8359,0.8478739178987283,0.8359,0.8358133515928379,2025-09-13 18:45:29
